id,imdb,name,year,rate,runtime,certificate,boxoffice,opening_theaters,budget_US???$),ReleaseDate,genre,genre1,genre2,genre3,genre4,genre5,genre6,Column
2615,tt0829459,A Mighty Heart (2007),2007,6.7,108,R,9170000,"1,355",16000000,22-Jun-07,Biography , Drama , History , Thriller , War,,,
2616,tt1315981,A Single Man (2009),2009,7.6,99,R,9170000,354,7000000,19-Oct-09,Drama ,,,,,,,
2623,tt0914798,The Boy in the Striped Pajamas (2008),2008,7.8,94,PG_13,9030000,679,12500000,16-Oct-08,Drama , War,,,,,,
2624,tt1441952,Salmon Fishing in the Yemen (2011),2011,6.8,107,PG_13,9030000,524,,9-Feb-11,Comedy , Drama , Romance,,,,,
2626,tt0407265,Transamerica (2005),2005,7.5,103,R,9010000,656,1000000,24-Apr-05,Adventure , Comedy , Drama,,,,,
2630,tt0780511,Everybody's Fine (2009),2009,7.2,99,PG_13,8860000,"2,133",21000000,3-Nov-09,Adventure , Drama,,,,,,
2634,tt0400525,The Ice Harvest (2005),2005,6.3,92,R,8820000,"1,555",16000000,20-Oct-05,Comedy , Crime , Drama , Thriller,,,,
2635,tt0484562,The Seeker: The Dark Is Rising (2007),2007,4.8,99,PG,8790000,"3,141",,5-Oct-07,Adventure , Drama , Family , Fantasy , Thriller,,,
2637,tt0891592,Street Fighter: The Legend of Chun-Li (2009),2009,3.7,96,PG_13,8740000,"1,136",50000000,27-Feb-09,Action , Crime , Fantasy , Thriller,,,,
2640,tt0865559,My Life in Ruins (2009),2009,5.9,95,PG_13,8660000,"1,164",17000000,3-May-09,Comedy , Romance,,,,,,
2644,tt0795368,Death at a Funeral ,2007,7.4,90,R,8580000,324,9000000,2-Mar-07,Comedy ,,,,,,,
2646,tt0350261,An Unfinished Life ,2005,7,108,PG_13,8540000,888,30000000,9-Sep-05,Drama ,,,,,,,
2648,tt1470023,MacGruber (2010),2010,5.4,90,R,8460000,"2,551",10000000,15-Mar-10,Action , Comedy,,,,,,
2554,tt1135985,Sex Drive (2008),2008,6.6,109,R,8400000,"2,421",19000000,17-Oct-08,Adventure , Comedy , Romance,,,,,
2558,tt0399327,The Man (2005),2005,5.5,83,PG_13,8330000,"2,040",33000000,9-Sep-05,Action , Comedy , Crime,,,,,
2560,tt0365830,Tenacious D in The Pick of Destiny (2006),2006,6.8,93,R,8320000,"1,919",,26-Oct-06,Adventure , Comedy , Music , Musical,,,,
2569,tt1042877,Cadillac Records (2008),2008,6.9,109,R,8130000,687,12000000,24-Nov-08,Biography , Drama , History , Music , Romance,,,
2570,tt1634122,Johnny English Reborn (2011),2011,6.3,101,PG,8130000,"1,552",45000000,21-Oct-11,Action , Adventure , Comedy , Crime , Drama,,,
2575,tt0482463,Bella ,2006,7.4,91,PG_13,8110000,457,3300000,26-Oct-06,Drama , Romance,,,,,,
2576,tt0462229,Code Name: The Cleaner (2007),2007,4.4,84,PG_13,8100000,"1,736",20000000,5-Jan-07,Action , Comedy , Crime,,,,,
2578,tt0453494,Hoot (2006),2006,5.6,91,PG,8080000,"3,018",15000000,5-May-06,Adventure , Comedy , Family,,,,,
2579,tt0800003,Delta Farce (2007),2007,3.4,90,PG_13,8070000,"1,931",,11-May-07,Action , Adventure , Comedy,,,,,
2582,tt0446755,The Painted Veil ,2006,7.5,125,PG_13,8050000,287,19400000,20-Dec-06,Drama , Romance,,,,,,
2586,tt1131729,Pirate Radio (2009),2009,7.4,135,R,7990000,882,,13-Nov-09,Comedy , Drama , Music,,,,,
2588,tt0450314,Punisher: War Zone (2008),2008,6,103,R,7950000,"2,508",35000000,5-Dec-08,Action , Crime , Drama , Thriller,,,,
2593,tt1046997,Miracle at St. Anna (2008),2008,6,160,R,7920000,"1,185",45000000,26-Sep-08,Action , Crime , Drama , Thriller , War,,,
2595,tt0970411,City of Ember (2008),2008,6.5,90,PG,7870000,"2,022",55000000,25-Sep-08,Adventure , Family , Fantasy , Sci-Fi,,,,
2597,tt0448075,The Night Listener (2006),2006,5.9,91,R,7830000,"1,367",4000000,21-Jan-06,Crime , Mystery , Thriller,,,,,
2599,tt0439815,Slither (2006),2006,6.5,95,R,7770000,"1,946",15500000,31-Mar-06,Comedy , Horror , Sci-Fi,,,,,
2501,tt0780536,In Bruges ,2008,8,107,R,7760000,232,15000000,17-Jan-08,Comedy , Crime , Drama,,,,,
2502,tt0433442,The Return (2006),2006,4.8,85,PG_13,7740000,"1,984",15000000,10-Nov-06,Mystery , Thriller,,,,,,
2504,tt0844479,The Collector (2009),2009,6.4,90,R,7710000,"1,325",6000000,31-Jul-09,Horror , Thriller,,,,,,
2506,tt1054606,The Imaginarium of Doctor Parnassus (2009),2009,6.9,123,PG_13,7690000,607,40000000,9-Oct,Adventure , Fantasy , Mystery,,,,,
2505,tt1668200,Sarah's Key (2010),2010,7.5,111,PG_13,7690000,319,,22-Jul-10,Drama , War,,,,,,
2514,tt0458522,El cantante (2006),2006,5.3,106,R,7560000,542,,14-Mar-06,Biography , Drama , Music,,,,,
2510,tt0785007,Over Her Dead Body (2008),2008,5.2,95,PG_13,7560000,"1,977",10000000,29-Jan-08,Comedy , Fantasy , Romance,,,,,
2516,tt0377107,Proof (2005),2005,6.8,100,PG_13,7520000,517,20000000,16-Sep-05,Drama , Mystery,,,,,,
2519,tt1151915,Nothing Like the Holidays (2008),2008,6.2,98,PG_13,7500000,"1,671",,12-Dec-08,Comedy , Drama , Romance,,,,,
2520,tt1423894,Barney's Version ,2010,7.3,134,R,7500000,281,,10-Apr,Comedy , Drama,,,,,,
2523,tt0415965,Martian Child (2007),2007,6.8,106,PG,7490000,"2,020",27000000,19-Oct-07,Comedy , Drama , Family,,,,,
2524,tt0401445,A Good Year (2006),2006,6.9,117,PG_13,7460000,"2,066",35000000,10-Nov-06,Comedy , Drama , Romance,,,,,
2525,tt1336617,Cyrus (2010),2010,6.3,91,R,7460000,454,7000000,23-Jan-10,Comedy , Drama , Romance,,,,,
2527,tt1127896,Taking Woodstock (2009),2009,6.7,120,R,7440000,"1,393",30000000,26-Aug-09,Comedy , Drama , Music,,,,,
2529,tt0339334,Sprung! The Magic Roundabout ,2005,5.2,85,NULL,7420000,180,20000000,2005/2/2,Animation , Adventure , Comedy , Family , Fantasy,,,
2531,tt0763304,Doogal (2006),2006,2.8,85,G,7380000,"2,318",,24-Feb-06,Animation , Adventure , Comedy , Family , Fantasy,,,
2534,tt0367089,The Squid and the Whale ,2005,7.4,81,R,7360000,151,1500000,5-Jan,Comedy , Drama,,,,,,
2542,tt1720616,Friends with Kids (2011),2011,6.2,107,R,7250000,374,,9-Mar-11,Comedy , Drama , Romance,,,,,
2544,tt0897361,I Know Who Killed Me (2007),2007,3.6,105,R,7230000,"1,320",12000000,27-Jul-07,Crime , Mystery , Thriller,,,,,
2546,tt0405676,All the King's Men (2006),2006,6.2,128,PG_13,7220000,"1,514",55000000,22-Sep-06,Drama , Thriller,,,,,,
2548,tt1053810,The Big Year (2011),2011,6.2,100,PG,7200000,"2,150",41000000,14-Oct-11,Comedy ,,,,,,,
2451,tt0462338,The Hoax ,2006,6.7,116,R,7160000,"1,069",25000000,6-Apr-06,Comedy , Drama,,,,,,
2452,tt0465142,American Dreamz (2006),2006,5.5,107,PG_13,7160000,"1,500",19000000,4-Mar-06,Comedy , Music,,,,,,
2550,tt0464141,The Orphanage (2007),2007,7.5,105,R,7160000,707,,26-Sep-07,Drama , Mystery , Thriller,,,,,
2453,tt1832382,A Separation ,2011,8.4,123,PG_13,7100000,282,500000,4-Sep-11,Drama ,,,,,,,
2454,tt0292963,Before the Devil Knows You're Dead (2007),2007,7.3,117,R,7080000,321,18000000,7-Oct,Crime , Drama , Thriller,,,,,
2455,tt0770810,How She Move (2007),2007,3.2,94,PG_13,7070000,"1,531",,23-Jan-07,Drama ,,,,,,,
2458,tt0490196,Phat Girlz (2006),2006,2.9,99,PG_13,7060000,"1,060",3000000,7-Apr-06,Comedy ,,,,,,,
2459,tt0454970,Turistas (2006),2006,5.3,93,R,7030000,"1,570",10000000,1-Dec-06,Horror , Mystery , Thriller,,,,,
2464,tt0473024,Crossover (2006),2006,2,95,PG_13,7010000,"1,023",5600000,22-Jul-06,Action , Sport,,,,,,
2465,tt0470705,Bug (2006),2006,6,102,R,7010000,"1,661",4000000,25-Sep-06,Horror , Thriller,,,,,,
2467,tt1190617,An American Carol (2008),2008,4.3,83,PG_13,7000000,"1,639",12000000,3-Oct-08,Comedy , Fantasy,,,,,,
2470,tt1216487,The Girl Who Played with Fire ,2009,7.1,129,R,6940000,185,,9-Jul-09,Crime , Drama , Mystery , Thriller,,,,
2473,tt0810922,Take Me Home Tonight (2011),2011,6.3,97,R,6920000,"2,003",23000000,2-Mar-11,Comedy , Drama , Romance,,,,,
2477,tt0780595,Redline (2007),2007,3.9,95,PG_13,6880000,"1,607",26000000,13-Apr-07,Action ,,,,,,,
2480,tt0404390,Running Scared (2006),2006,7.5,122,R,6860000,"1,611",17000000,24-Feb-06,Action , Crime , Drama , Thriller,,,,
2479,tt1255953,Incendies ,2010,8.2,139,R,6860000,90,6800000,4-Sep-10,Drama , Mystery , War,,,,,
2478,tt1477837,Cedar Rapids (2011),2011,6.3,87,R,6860000,462,,23-Jan-11,Comedy ,,,,,,,
2489,tt0478134,In the Valley of Elah (2007),2007,7.2,121,R,6780000,978,,13-Sep-07,Crime , Drama , Mystery , Thriller,,,,
2488,tt1244754,Conviction (2010),2010,7.2,107,R,6780000,672,12500000,10-Oct,Biography , Drama,,,,,,
2493,tt0439289,Running with Scissors (2006),2006,6.2,116,R,6750000,586,12000000,20-Oct-06,Comedy , Drama,,,,,,
2402,tt1174730,City Island ,2009,7.4,104,PG_13,6670000,269,6000000,26-Apr-09,Comedy , Drama,,,,,,
2405,tt0824758,The Last Station (2009),2009,7,112,R,6620000,354,,4-Sep-09,Biography , Drama , Romance,,,,,
2406,tt0775529,The Savages ,2007,7.2,114,R,6610000,201,,19-Jan-07,Comedy , Drama,,,,,,
2412,tt0473444,Curse of the Golden Flower (2006),2006,7,111,R,6570000,"1,234",45000000,21-Dec-06,Action , Drama , Romance,,,,,
2413,tt0489282,Strange Wilderness (2008),2008,5.3,87,R,6560000,"1,208",,1-Feb-08,Comedy ,,,,,,,
2416,tt1399683,Winter's Bone ,2010,7.2,100,R,6530000,141,2000000,21-Jan-10,Drama ,,,,,,,
2418,tt1187043,3 Idiots ,2009,8.5,170,PG_13,6520000,156,,23-Dec-09,Comedy , Drama,,,,,,
2424,tt0412536,Brideshead Revisited (2008),2008,6.7,133,PG_13,6410000,501,20000000,25-Jul-08,Drama , Romance,,,,,,
2425,tt1031969,The Rocker (2008),2008,6.2,102,PG_13,6410000,"2,627",15000000,12-Jun-08,Comedy , Music,,,,,,
2427,tt1305806,The Secret in Their Eyes ,2009,8.3,129,R,6390000,166,2000000,4-Nov-09,Drama , Mystery , Thriller,,,,,
2428,tt1142433,Post Grad (2009),2009,5.3,88,PG_13,6370000,"1,959",15000000,13-Aug-09,Comedy , Romance,,,,,,
2431,tt0804497,It's Kind of a Funny Story (2010),2010,7.2,101,PG_13,6350000,742,8000000,26-Sep-10,Comedy , Drama , Romance,,,,,
2434,tt0366627,The Jacket (2005),2005,7.1,103,R,6300000,"1,331",29000000,23-Jan-05,Drama , Horror , Mystery , Sci-Fi , Thriller,,,
2446,tt0362225,Tell No One (2006),2006,7.6,131,UNRATED,6180000,"1,112",,17-Apr-06,Crime , Drama , Mystery , Thriller,,,,
2354,tt1035736,Coco Before Chanel (2009),2009,6.7,105,PG_13,6110000,307,,25-Sep-09,Biography , Drama,,,,,,
2356,tt0456554,Grandma's Boy (2006),2006,7.1,94,R,6090000,"2,016",,6-Jan-06,Comedy ,,,,,,,
2358,tt0356680,The Family Stone (2005),2005,6.3,103,PG_13,6060000,"2,466",17000000,16-Dec-05,Comedy , Drama , Romance,,,,,
2366,tt0425413,"Run, Fatboy, Run (2007)",2007,6.7,100,PG_13,6000000,"1,133",,28-Mar-07,Comedy , Romance , Sport,,,,,
2368,tt0401383,The Diving Bell and the Butterfly ,2007,8.1,112,PG_13,5990000,213,,31-Aug-07,Biography , Drama,,,,,,
2372,tt0805564,Lars and the Real Girl (2007),2007,7.4,106,PG_13,5950000,321,12000000,7-Oct,Comedy , Drama,,,,,,
2373,tt0462396,The Last Legion (2007),2007,5.4,102,PG_13,5930000,"2,002",67000000,17-Aug-07,Action , Adventure , Fantasy , War,,,,
2378,tt0756703,Feel the Noise (2007),2007,2.7,86,PG_13,5870000,"1,015",,5-Oct-07,Drama , Music,,,,,,
2381,tt0430912,Basic Instinct 2 (2006),2006,4.2,114,R,5850000,"1,453",70000000,31-Mar-06,Drama , Mystery , Thriller,,,,,
2386,tt0841032,The Perfect Holiday (2007),2007,4.2,96,PG,5810000,"1,306",20000000,12-Dec-07,Comedy , Family , Fantasy , Romance,,,,
2392,tt1532503,Beginners ,2010,7.2,105,R,5780000,170,3200000,21-Apr-10,Comedy , Drama , Romance,,,,,
2394,tt0338216,Lucky You (2007),2007,5.9,124,PG_13,5760000,"2,525",55000000,1-May-07,Drama , Romance , Sport,,,,,
2397,tt1426379,Orlando ,2011,3.7,,NULL,5740000,78,,,Animation ,,,,,,,
2305,tt0416044,Mongol: The Rise of Genghis Khan ,2007,7.3,126,R,5700000,5,20000000,6-Jan-07,Adventure , Biography , Drama , History , War,,,
2304,tt1571222,A Dangerous Method (2011),2011,6.5,99,R,5700000,365,15000000??03-Sep-11,Biography , Drama , Thriller,,,,,,
2307,tt0785077,Who's Your Caddy? (2007),2007,2,93,PG_13,5690000,"1,019",7000000,23-Jul-07,Comedy , Sport,,,,,,
2306,tt1032755,RocknRolla (2008),2008,7.3,114,R,5690000,826,18000000,8-Oct-08,Action , Crime , Thriller,,,,,
2310,tt1032751,The Warrior's Way (2010),2010,6.3,100,R,5660000,"1,622",45000000,3-Dec-10,Action , Fantasy , Western,,,,,
2315,tt0373416,Underclassman (2005),2005,4,95,PG_13,5650000,"1,132",25000000,2-Sep-05,Action , Comedy , Crime , Drama , Thriller,,,
2323,tt0470765,For Your Consideration (2006),2006,6.3,86,PG_13,5540000,625,12000000,17-Nov-06,Comedy ,,,,,,,
2325,tt0455326,Aqua Teen Hunger Force Colon Movie Film for Theaters (2007),2007,6.9,86,R,5520000,877,750000,10-Apr-07,Animation , Action , Adventure , Comedy , Fantasy , Sci-Fi,,
2329,tt0462504,Rescue Dawn (2006),2006,7.4,120,PG_13,5480000,505,10000000,22-Oct-06,Adventure , Biography , Drama , War,,,,
2330,tt0405296,A Scanner Darkly ,2006,7.1,100,R,5480000,263,8500000,7-Jul-06,Animation , Mystery , Sci-Fi , Thriller,,,,
2328,tt0813547,The Counterfeiters ,2007,7.6,98,R,5480000,170,4200000??09-Feb-07,Crime , Drama , War,,,,,,
2335,tt0404203,Little Children ,2006,7.6,136,R,5460000,115,26000000,1-Sep-06,Drama , Romance,,,,,,
2340,tt1540133,The Guard ,2011,7.3,96,R,5360000,203,6000000,20-Jan-11,Comedy , Crime , Thriller,,,,,
2341,tt1720182,October Baby ,2011,6.8,107,PG_13,5360000,14,,28-Oct-11,Drama ,,,,,,,
2342,tt1615147,Margin Call ,2011,7.1,107,R,5350000,199,3500000,25-Jan-11,Drama , Thriller,,,,,,
2347,tt1178663,Whatever Works (2009),2009,7.2,92,PG_13,5310000,353,15000000,22-Apr-09,Comedy , Romance,,,,,,
2255,tt0976222,Bandslam (2009),2009,6.4,111,PG,5210000,"2,121",20000000,6-Aug-09,Comedy , Drama , Family , Music , Romance,,,
2258,tt1343097,The Girl Who Kicked the Hornet's Nest ,2009,7.3,147,R,5190000,208,4000000??13-Oct-09,Crime , Drama , Thriller,,,,,,
2260,tt0369226,Alone in the Dark (2005),2005,2.3,96,R,5130000,"2,124",20000000,28-Jan-05,Action , Horror,,,,,,
